tower,time_UTC,LE_insitu,H_insitu,Rn_insitu,G_insitu
US-NR1,2019-02-20 20:30:00,,,,-1.63
US-NR1,2019-02-23 20:00:00,,,,-1.99
US-NR1,2019-02-27 18:00:00,,,,-1.66
US-NR1,2019-03-02 17:00:00,,,,-1.05
US-NR1,2019-05-31 22:30:00,,,,
US-NR1,2019-06-07 20:00:00,,,,-1.01
US-NR1,2019-06-19 15:00:00,,,,
US-NR1,2019-06-30 17:30:00,,,,
US-NR1,2019-07-04 15:30:00,,,,
US-NR1,2019-07-07 14:30:00,,,,
US-NR1,2019-07-29 23:00:00,,,,
US-NR1,2019-08-13 17:00:00,,,,
US-NR1,2019-08-16 23:00:00,,,,
US-NR1,2019-08-20 14:30:00,,,,
US-NR1,2019-08-28 18:00:00,,,,
US-NR1,2019-09-01 16:00:00,,,,
US-NR1,2019-09-05 14:30:00,,,,-0.136
US-NR1,2019-10-04 20:30:00,,,,
US-NR1,2019-10-08 19:00:00,,,,
US-NR1,2019-10-15 16:30:00,,,,
US-NR1,2019-10-16 22:30:00,,,,
US-NR1,2019-10-19 21:30:00,,,,
US-NR1,2019-10-20 20:30:00,,,,-3.54
US-NR1,2019-10-31 16:30:00,,,,-2.91
US-NR1,2019-12-04 20:30:00,,,,-1.39
US-NR1,2019-12-07 19:30:00,,,,-1.19
US-NR1,2019-12-11 18:00:00,,,,-1.37
US-NR1,2019-12-23 19:30:00,,,,-0.978
US-NR1,2020-01-30 22:00:00,,,,-1.17
US-NR1,2020-02-11 17:30:00,,,,-1.32
US-NR1,2020-02-15 22:30:00,,,,-1.13
US-NR1,2020-02-19 21:00:00,,,,-0.871
US-NR1,2020-02-20 20:00:00,,,,-0.863
US-NR1,2020-02-24 18:30:00,,,,-0.911
US-NR1,2020-02-27 17:30:00,,,,-0.898
US-NR1,2020-02-28 17:00:00,,,,-0.917
US-NR1,2020-03-02 16:00:00,,,,-0.946
US-NR1,2020-03-29 22:30:00,,,,-0.443
US-NR1,2020-04-06 19:30:00,,,,-0.469
US-NR1,2020-04-10 18:00:00,,,,-0.507
US-NR1,2020-04-14 16:30:00,,,,-0.617
US-NR1,2020-04-14 23:00:00,,,,-0.622
US-NR1,2020-04-18 15:00:00,,,,-0.628
US-NR1,2020-04-19 20:30:00,,,,-0.636
US-NR1,2020-04-22 20:00:00,,,,-0.643
US-NR1,2021-02-06 18:30:00,,,,-1.78
US-NR1,2021-02-10 17:00:00,,,,
US-NR1,2021-03-02 15:30:00,,,,-1.6
